,Case,acqlabel,acq_id,PhaseEncodingDirection_dwi,EffectiveEchoSpacing_dwi,TotalReadoutTime_dwi,RepetitionTime_dwi,EchoTime_dwi
156,sub-NDARUP249AMD/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a733d566950078c12a14,j-,0.000414993,0.0427443,3.32,0.1002
157,sub-NDARUT018UYN/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a7d2d566950078c12a2a,j-,0.000414993,0.0427443,3.32,0.1002
158,sub-NDARUW000ALJ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a883d566950078c12a3c,j-,0.000414993,0.0427443,3.32,0.1002
159,sub-NDARUW904FMQ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a8fbd56695006cc0c567,j-,0.000414993,0.0427443,3.32,0.1002
160,sub-NDARUX886JLM/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a991d566950078c12a61,j-,0.000414993,0.0427443,3.32,0.1002
161,sub-NDARUZ206DRV/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4aa39d566950059c05be9,j-,0.000414993,0.0427443,3.32,0.1002
162,sub-NDARVD635FX8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4aaead56695006cc0c58a,j-,0.000414993,0.0427443,3.32,0.1002
163,sub-NDARVT488RXJ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4ab90d566950078c12aa0,j-,0.000414993,0.0427443,3.32,0.1002
164,sub-NDARVY366HWJ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4ac53d566950078c12abd,j-,0.000414993,0.0427443,3.32,0.1002
165,sub-NDARWA351ZE2/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4ad02d566950078c12ad1,j-,0.000414993,0.0427443,3.32,0.1002
